Archaeocidaris  0101000000 0-0-000010 0000-00000 000011 0000?????? ????10-100 5060?11??0 0000????00 0010-0- 
Pygorhytis  1001000000 0-0-002100 0000-00000 0000?? 0121-01110 0210011010 4140000000 0000100001 ???29?6 
Hyboclypus  1001000000 0-0-002100 0000-00000 0000?? 1020-01110 2110010010 5140000000 00001000a1 ???19?7 
Tithonia  1001010000 0-0-002100 0000-00000 0000?? 0221------ 2?4000-100 2140000100 0000100001 ???2903 
Acrolusia  1001010000 0-0-002100 0000-00000 0000?? 0221------ 02410???00 4140000000 000000000? ???2??? 
Pseudholaster  1001020000 0-0-002100 0000-00000 0000?? 0220------ 224000-100 4140000000 00001000a1 ???27?4 
Hemipneustes  1011020000 0-0-002100 0000-00000 000011 0220------ 224000-100 4140000010 00001000a1 0012615 
Cardiaster  1001020000 0-0-002100 0000-00000 0000?? 0220------ 224000-000 4140000000 00001000a1 ???2613 
Cardiotaxis  1001020000 0-0-002100 0000-00000 0000?? 0220------ 224000-000 4140000000 00001000a1 ???2713 
Holaster  1001020000 0-0-002100 0000-00000 000011 0220------ 224000-100 4140000000 00001000a1 ???2713 
Echinocorys  1011000000 0-0-002100 0000-00000 000011 0220------ B24A00-100 4140000000 00001000a1 ???3613 
Stenonaster  1011000000 0-0-002100 0000-00000 0000?? 0210------ 024000-100 4140000000 00000000a1 ???35?3 
Stegaster  1011020000 0-0-002100 0000-00000 0000?? 0220------ 224000-100 4140000000 00001000a1 ???27?3 
Calymne   1001000000 0-0-002100 0000-00000 0000?? 0220------ 224000-000 4110?00000 0000100001 0012713 
Corystus  1001000000 0-0-002100 0000-00000 0000?? 0220------ 224000-200 4140000000 0000100001 0012613 
Plexechinus  1001011000 0-0-002100 0000-00000 0000?? 1221------ 224000-200 31E0000000 0000100001 0011613 
Pourtalesia  1001011000 0-0-002100 0000-00000 0000?? 1221------ 223000-200 41400001?0 0000100001 0011713 
Urechinus  1001000000 0-0-002100 0000-00000 0000?? 0220------ 224000-100 4130000000 0000100001 0013514 
Aeropsis  1001000000 0-0-002100 0000-00000 0000?? 1210------ 004100-100 R120000000 0000000001 00116?2 
Coraster  10010A0000 0-0-002100 0000-00000 0000?? 1210------ 004100-100 4140000000 00000000a1 ???16?2 
Paleopneustes  1001000000 0-0-002100 0000-00000 000011 0210------ 000100-100 4130010000 0000000001 0012514 
Micraster  1001020000 0-0-002100 0000-00000 000011 0210------ 004100-100 4140010000 00000000a1 ???271F 
Plesiaster  1001020000 0-0-002100 0000-00000 0000?? 0210------ 004100-100 4140000000 00000000a1 ???27?F 
Cyclaster  1000020000 0-0-002100 0000-00000 0000?? 0210------ 024100-100 4130100000 0000000001 0012612 
Palaeostoma  1000010000 0-0-002100 0000-00000 0000?? 0210------ 000100-100 4120010000 0000000001 0012613 
Pericosmus  1001020000 0-0-002100 0000-00000 000011 0210------ 000100-200 4130010000 0000000001 0012514 
Macropneustes  1001020000 0-0-002100 0000-00000 0000?? 0210------ 000100-000 4140010000 00000000a1 ???25?4 
Unifascia  1001010000 0-0-002100 0000-00000 0000?? 1210------ 000100-000 4140010000 00000000a1 ???25?4 
Schizaster  1000020000 0-0-002100 0000-00000 000011 2210------ 000100-000 4140010000 0000000001 0012514 
Hemiaster  1000010000 0-0-002100 0000-00000 000011 0210------ 024100-100 4140000000 00000000a1 00126?2 
Toxaster  1001020000 0-0-002100 0000-00000 000011 0210------ 024100-000 4140000000 00000000a1 ???26?3 
Brisaster  1000020000 0-0-002100 0000-00000 0000?? 0210------ 000100-000 4130010000 0000000001 0012514 
Somaliaster  1001010000 0-0-002100 0000-00000 0000?? 0210------ 004100-100 4140010000 00000000a1 ???25?3 
Brissopsis  1001020000 0-0-002100 0000-00000 000011 0210------ 000100-100 4140010000 0000000001 0012514 
Antillaster  1001020000 0-0-002100 0000-00000 0000?? 0210------ 000100-100 41E0010000 00000000a1 ???25?4 
Asterostoma  1001000000 0-0-002100 0000-00000 0000?? 1210------ 000100-100 4140010000 00000000a1 ???25?4 
Eupatagus  1001000000 0-0-002100 0000-00000 000011 0210------ 000100-000 4140010000 0000000001 0012415 
Megapneustes  1001020000 0-0-002100 0000-00000 0000?? 0210------ 000100-100 4140010000 00000000a1 ???25?4 
Ovulaster   10010A0000 0-0-002100 0000-00000 0000?? 1210------ 024100-100 4140000000 00000000a1 ???25?F 
Palaeotrophus  1001000000 0-0-002100 0000-00000 0000?? 0210------ 0?3?00-100 11200?0000 0000000001 00124?4 
Periaster  1001000000 0-0-002100 0000-00000 0000?? 0210------ 023100-000 4140000000 00000000a1 ???2??? 
Breynia   1001020000 0-0-002100 0000-00000 000011 0210------ 000100-100 4140010000 0000000001 0012415 
Brissus   1001000000 0-0-002100 0000-00000 000011 1210------ 000100-000 4140010000 0000000001 0012414 
Echinocardium  1000020000 0-0-002100 0000-00000 000011 0210------ 000100-A00 4140010000 0000000001 0012415 
Eurypatagus  1001000000 0-0-002100 0000-00000 0000?? 0210------ 000100-000 4140010000 0000000001 0012415 
Lovenia   1001020000 0-0-002100 0000-00000 000011 0210------ 0001021100 4140010000 0000000001 3012415 
Maretia   1001010000 0-0-002100 0000-00000 0000?? 0210------ 000100-100 4140010000 0000000001 00124?5 
Prenaster  1001000000 0-0-002100 0000-00000 0000?? 1210------ 000100-000 4140010000 00000000a1 ???25?4 
Spatangus  1001020000 0-0-002100 0000-00000 000011 0210------ 000100-000 4140010000 0000000001 0012514 
Carnarechinus  1?0?000000 0-0-002100 0000-00000 0000?? ?210------ 02410???00 4140?00010 00000000?? ?????1? 
Enichaster  1101000000 0-0-002100 0000-00000 0000?? 0210------ 0??100??00 4140??000? ?0000000?? ???2??? 
Galeropygus  0001000000 0-0-002100 0000-00000 000011 0100100100 0110110010 4140000000 0000000001 ?0?090? 
Clypeus   0001000000 0-0-002100 0000-00000 0000?? 0110101110 00410100A0 4140011000 00000000a1 ???0904 
Nucleolites  1001000000 0-0-002100 0000-00000 000011 0210------ 0B41010000 4140010000 00000000a1 ???090E 
Apatopygus  1001000000 0-0-002100 0000-00000 0000?? 0210------ 0231010000 4140010000 0000000001 1010906 
Pygaulus  1001000000 0-0-002100 0000-00000 0000?? 0210------ 0041011000 4140010000 00000000a1 ???3?03 
Archiacia  1002110000 0-0-002100 0000-00000 0000?? 1210------ 000100-000 4140010000 00000000a1 ???3??? 
Claviaster  1002110000 0-0-002100 0000-00000 0000?? 1210------ 000100-000 4140010000 00000000a1 ???3??4
Cassidulus  1001000000 000-002100 0000-00000 000011 0210------ 0-0-011200 1141010000 0000000001 1011903
Faujasia  1001000000 000-002100 0000-00000 0000?? 0210------ 0-0-00-100 1142010000 00000000a1 ???3402
Stigmatopygus  1001000000 000-002100 0000-00000 0000?? 0210------ 0001011000 4141010000 00000000a1 ???2804
Echinolampas  10A1000000 000-002100 0000-00000 000011 0210------ 0-0-00-200 1141010000 0000000001 1014703
Clypeolampas  1011000000 000-002100 0000-00000 0000?? 0210------ 0-0-00-200 1140010000 00000000a1 ???3903
Neolampas  1001000000 000-002100 0000-00000 0000?? 0210------ 0-0-011100 1170110000 0000000001 3013712
Pliolampas  1001000000 000-002100 0000-00000 0000?? 0210------ 0-0-011100 1170110000 0000000001 ?013?03
Plesiolampas  1001000000 000-002100 0000-00000 000011 0210------ 0-0-00-000 1141010000 00000000a1 ???35?4
Oligopygus  1001000000 000-002100 0000-01?00 00001A 0210------ 0-0-00-100 12411-0000 00000000a1 ???4511
Haimea   1001000000 000-002100 0000-0??00 000011 0210------ 0-0-00-100 12411-0000 00000000a1 ???45?2
Conoclypus  0011000000 000-002100 0000-00000 000011 0210------ 0-0-011000 12410-0000 0000000001 ???3???
Clypeaster  1001000000 000-002100 0000-00000 121011 0210------ 0-0-00-100 125C010000 0000000001 0013512
Ammotrophus  1201000000 000-102100 0000-01100 1210?? 0210------ 0-0-00-100 1241010000 0000000001 00142?1
Arachnoides  0201000000 000-102100 0000-00000 120011 0210------ 0-0-00-100 1241010000 0000000001 --113?2
Fossulaster  1001000000 000-002100 0000-00000 121??? 0210------ 0-0-00-100 124A110000 00000000a1 ???15?2
Scutellinoides  1101000000 000-002100 0000-0?000 121??? 0210------ 0-0-00-100 1241010000 00000000a1 ???14?3
Echinocyamus  1001000000 000-002100 0000-01001 000011 0210------ 0-0-00-100 1241110000 0000000001 0014212
Fibularia  1001000000 000-002100 0000-01100 0000?? 0210------ 0-0-00-100 1240010001 0000000001 0114212
Laganum   1101000000 000-002101 0000-01000 1A0011 0210------ 0-0-00-100 1250010001 0000000001 1014212
Neolaganum  1101000000 000-002101 0000-0110? ???011 0210------ 0-0-00-100 1240010001 00000000a1 ???42?2
Rotula   1201000000 110-112100 0000-00000 220011 0210------ 0-0-00-100 1241010000 0000000001 00142?1
Scutellina  0101000000 000-002100 0000-01111 0000?? 0210------ 0-0-00-100 1241010000 00000000a1 ???2512
Abertella  1201000000 000-102100 0000-00000 230111 0210------ 0-0-00-100 12410-1000 00000000a1 ???43?1
Astriclypeus  0201000111 010-002100 0000-00000 2201?? 0210------ 0-0-00-100 12410-1000 0000000001 00142?1
Dendraster  1201000000 000-002100 0000-00101 330011 2210------ 0-0-00-100 12410-1000 0000000001 00143?2
Echinarachnius  1201000000 000-102100 0000-01101 330011 0210------ 0-0-00-100 12410-0000 0000000001 10134?2
Eoscutella  1201000000 000-102100 0000-00?0? ?????? 0210------ 0-0-00-100 12410-0000 00000000a1 ???44?2
Mellita   1201000110 0210002100 0000-00100 221111 0210------ 0-0-00-100 12410-1000 0000000001 10141?2
Monophoraster  1201000000 0011002100 0000-00100 2200?? 0210------ 0-0-00-100 12410-1000 00000000a1 ???42?1
Protoscutella  1201000000 000-002100 0000-01101 3300?? 0210------ 0-0-00-100 12510-0000 00000000a1 ???44?2
Scutaster  1201000011 020-002100 0000-00?0? ?????? 0210------ 0-0-00-100 124?0-?000 00000000a1 ???43?1
Scutella  1201000000 000-002100 0000-00000 330111 0210------ 0-0-00-100 12410-0000 00000000a1 ???42?1
Taiwanaster  1102000000 000-002100 0000-0??01 0000?? 0210------ 0-0-00-100 1241?-0000 00000000a1 ???1E?2
Archaeocidaris  000-1--0-- 0000000000 0000000011 00000-0000 00000-?000 000-0-000- 000------- -0  
Tiarechinus  000-1--0-- 0000000000 0000000011 00000-0000 00000-?000 000-0-000- 000------- -0  
Triadotiaris  020-0-532? 0000000000 0000012011 00000-0000 00000-?000 000-0-000- 000------- -0  
Serpianotiaris  010-01532? 0000000000 0000000011 10000-0000 000002?000 001-0-000- 000------- -0  
Polycidaris  020-00030? 0000000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0  
Diplocidaris  020-00020? 0000000000 0020011011 00000-0000 00000-?000 001-0-000- 000------- -0  
Rhabdocidaris  040-00020? 0000000000 0010000011 00000-0000 00000-?000 001-0-000- 000------- -0  
Histocidaris  000-1--0-- 0000000000 0000000011 00000-0000 00000-5000 001-0-000- 000------- -0  
Poriocidaris  000-1--0-- 0000000000 0000000011 00000-0000 00000-5000 001-0-000- 000------- -0  
Paurocidaris  000-1--0-- 0000000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0  
Anisocidaridae  000-1--0-- 0000000000 0020000011 00000-0000 00000-?000 000-0-000- 000------- -0  
Stylocidaris  000-1--0-- 0000000000 0010000011 00000-0000 00000-5000 001-0-000- 000------- -0  
Cidaris 000-1--0-- 0000000000 0000000011 00000-0000 00000-5000 001-0-000- 000------- -0  
Ctenocidaris  000-1--0-- 0000000000 0000000011 00000-0000 00000-5000 001-0-000- 000------- -0 
Goniocidaris  000-1--0-- 0000000000 0000000011 00000-0000 00000-5000 001-0-000- 000------- -0 
Phyllacanthus  000-1--0-- 0000000000 0010000011 00000-0000 00000-5000 001-0-000- 000------- -0 
Tylocidaris  000-1--0-- 0000000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Roseicidaris  000-1--0-- 0000000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Stereocidaris  000-1--0-- 0000000000 0010000011 00000-0000 00000-5000 001-0-000- 000------- -0 
Typocidaris  000-1--0-- 0000000000 0010000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Eotiaris  ?????????? ?????????? ?????????? ?????????? ?????????? 0??-0-???- ??0------- -0 
Pelanodiadema  0221011321 000-000000 0000022011 10000-0000 0000033000 001-0-000- 000------- -0 
Araeosoma  020-012321 011-000000 0000022133 00000-0000 00000-5000 001-0-000- 000------- -0 
Hygrosoma 020-012321 011-000000 0000022111 00100-0000 00000-5000 001-0-000- 000------- -0 
Kamptosoma  020-012321 011-010000 0030000100 00100-0000 00000-5000 001-0-000- 000------- -0 
Paraphormosoma  020-014321 001-010000 0000022011 00000-0000 00000-5000 001-0-000- 000------- -0 
Phormosoma  020-011321 011-000000 0000020111 00000-0000 00000-5000 001-0-000- 000------- -0 
Sperosoma 020-014321 001-000000 0000022100 00100-0000 00000-5000 001-0-000- 000------- -0 
Aspidodiadema  020-00030? 0000000000 0000000001 00000-0000 00000-3000 001-0-000- 000------- -0 
Diadema   0221000301 0002000000 0000000011 10000-0000 0000033000 001-0-000- 000------- -0 
Heterodiadema  0221000301 0002000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Micropyga  0221011321 000-000000 0000011011 00000-0000 00000-3000 001-0-000- 000------- -0 
Caenopedina  0221000301 0002000000 0000000011 10000-0000 000003?000 001-0-000- 000------- -0 
Eodiadema  012000030? 0000000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Orthopsis  022000030? 0000000000 0000000011 10000-0000 000001?000 001-0-000- 000------- -0 
Acrosalenia  0220000301 0002000000 0000000011 10000-0000 000001?000 001-0-000- 000------- -0 
Goniophorus  012000020? 0002000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Hyposalenia  022000020? 0002000000 0000000011 10000-0000 000001?000 001-0-000- 000------- -0 
Pseudosalenia  0121000301 0002000000 0000000011 10000-0000 000001?000 001-0-000- 000------- -0 
Holosalenini  022000020? 0002000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Salenia   022000020? 0002000000 0000000011 10000-0000 0000013000 001-0-000- 000------- -0 
Salenocidaris  012000020? 0002000000 0000000011 00000-0000 00000-3000 001-0-000- 000------- -0 
Emiratia  0222000402 0002000000 0000010011 00000-0000 00000-?000 001-0-000- 000------- -0 
Gauthieria  0222001432 0002000000 0000000011 00000-0000 00000-?000 001-0-000- 000------- -0 
Polydiadema  0221000301 0002000000 0000000011 10000-0000 000001?000 001-0-000- 000------- -0 
Diplopodia  0221000301 0002000000 0000010011 10000-0000 000001?000 001-0-000- 000------- -0 
Phymosoma  0222001432 0002000000 0000010011 10000-0000 000001?000 001-0-000- 000------- -0 
Acropeltis  022100131? 0002000000 0000000011 10000-0000 000001?000 001-0-000- 000------- -0 
Glypticus  022100131? 0002000000 0020000011 10000-0000 000001?000 001-0-000- 000------- -0 
Arbacia   0221001321 000-000000 0010000011 11000-0000 0000033000 001-0-000- 000------- -0 
Coelopleurus  0221001321 000-000000 0000000011 A1000-0000 00000A3000 001-0-000- 000------- -0 
Glyptocidaris  0222001421 0002000000 0000022011 10000-0000 0000023000 001-0-000- 000------- -0 
Stomechinus  0221000301 0002000000 0000022011 10000-0000 0000023000 001-0-000- 000------- -0 
Stomopneustes  0222001431 1002000000 0000022013 10000-0000 0000033000 001-0-000- 000------- -0 
Hemicidaris  022C000301 0002000000 0000000011 10000-0000 000003?000 001-0-000- 000------- -0 
Pseudocidaris  0121000301 0002000000 0000000011 10000-0000 000001?000 001-0-000- 000------- -0 
