Archaeocidaris  0101000000 0-0-000010 0000-00000 000011 0000?????? ????10-100 5060?11??0 0000????00 0010-0- 
Neolaganum  1000000000 0011300001 2110000031 2000101100 0000-10221 -00000--00 0020000 11000000-00 0?00-1000 00 
Rotula   111110---0 00100?0000 220100002? 0000-01100 0000-10221 -00000--00 0020000 11000000-00 0100-1000 00 
Scutellina  1000000000 0000320000 2001011031 2000101100 0000-10221 -00000--00 0020000 11000000-00 0?00-1000 00 
Abertella  100111---- 00113-0000 2001011141 0000101100 0000-10221 -00000--00 0020000 ??000000-00 0?00-1000 00 
Astriclypeus  100111---- 00103-0000 200101114? 0000101100 0000-10221 -00000--01 0020000 11000000-00 0200-1000 00 
Dendraster  100111---- 00103-0000 2001011141 0000101100 0000-10221 -00000--00 0020000 11000000-00 0200-1000 00 
Echinarachnius  100AAA---- 00AA3?0001 20010111E1 1000101100 0000-10221 -00000--00 0020000 11000000-00 0200-1000 00 
Eoscutella  1000000000 0010320001 200101114? 1000101100 0000-10??1 -00000--0? 0020000 ??000000-00 0?0?????? ?? 
Mellita   100110---0 0011301000 2001011131 0000101100 0000-10221 -00000--01 0020001 11000100-00 0200-1000 00 
Monophoraster  1000000000 0011300001 20010111E1 2000101100 0000-10221 -00000--01 0020001 11000000-00 0?00-1000 00 
Protoscutella  100110000- 00003-0000 2001011131 2000101100 0000-10221 -00000--00 0020000 11000000-00 0?00-1000 00 
Scutaster  100001110- 00103-0001 200101114? 0000101100 0000-10??1 -00000--0? 0020000 ??000200-00 0?0?????? ?? 
Scutella  1000000000 0011300001 2001011131 2000101100 0000-10221 -00000--00 0020000 11000000-00 0?00-1000 00 
Taiwanaster  100111---- 00103-0000 100101114? 2000101100 0000-10221 -00000--00 0020000 11000000-00 0?00?1000 00 
Archaeocidaris  1100010001 020010 00?0-10000 000000000- ----00-000 00?00-0000 0---- 
Tiarechinus  ?????????? ?????? ?????????? ????0000?? ????00-000 00?00-0000 0---- 
Triadotiaris  1100010001 020011 1100-0000? 00000000?? ????00-000 00?00-0000 0---- 
Serpianotiaris  1100?1000? 0?0011 1100-0000? 00000000?? ????00-000 00?00-0000 0---- 
Polycidaris  1100??0??0 00001? ?101010??? 00000000?? ????00-000 00?00-0000 0---- 
Diplocidaris  11000?0??? ??001? 1?01010??? 00000000?? ????00-000 00?00-0000 0---- 
Rhabdocidaris  11???????? ????1? 110102000? 000000000- ----00-000 00?00-0000 0---- 
Histocidaris  110001000? 0?0011 1101020100 000000000- ----00-000 00?00-0000 0---- 
Poriocidaris  110001000? 0?0011 1101100100 000000000- ----00-000 00?00-0000 0---- 
Paurocidaris  11???????? ????1? ?????????? ????0??0?? ????00-000 00?00-0000 0---- 
Anisocidaridae  11???????? ????1? ?????????? ????0??0?? ????00-000 00?00-0000 0---- 
Stylocidaris  1100010000 000011 1101020010 000000000- ----00-000 00?00-0000 0---- 
Cidaris 1100010000 000011 1101020010 000000000- ----00-000 00?00-0000 0---- 
Ctenocidaris  110001000? 0?0011 1101030000 000000000- ----00-000 00?00-0000 0---- 
Goniocidaris  110001000? 0?0011 1101010010 100000000- ----00-000 00?00-0000 0---- 
Phyllacanthus  110001000? ????11 1101020010 000000000- ----00-000 00?00-0000 0---- 
Tylocidaris  110001000? 0?0011 1?01020000 000100000- ----00-000 00?00-0000 0---- 
Roseicidaris  11???????? ????1? ?????????? ????0??0?? ????00-000 00?00-0000 0---- 
Stereocidaris  1100010000 000011 1101020010 100000000- ----00-000 00?00-0000 0---- 
Typocidaris  11???????? ????1? ?????????? ????0??0?? ????00-000 00?00-0000 0---- 
Eotiaris  11000?000? 0?0011 0000-1000? 00000000?? ????00-000 00?00-0000 0---- 
Pelanodiadema  110111000? 000011 1?00-0000? 00?00000?? ?????0-000 00?00-0000 0---- 
Araeosoma  1101110001 000011 0000-00002 1100000010 300000-000 00?00-0000 0---- 
Hygrosoma 1101?1000? 000011 0000-00002 1100000010 300100-000 00?00-0000 0---- 
Kamptosoma  1101?1000? 000011 0000-00002 0000000010 300000-000 00?00-0000 0---- 
Paraphormosoma  1101?1000? 000011 0000-00002 0010000010 300000-000 00?00-0000 0---- 
Phormosoma  1101110001 000011 0000-00002 0010000010 300100-000 00?00-0000 0---- 
Sperosoma  1101?1000? 000011 0000-00002 1100000010 300000-000 00?00-0000 0---- 
Aspidodiadema  110111000? 000011 2000-01000 0000000011 300000-000 00?00-0000 0---- 
Diadema   1101110001 000011 0010-0100? 0010000010 300000-000 00?00-0000 0---- 
Heterodiadema  110??????? ??0011 ?????????? ???00000?? ?????0-000 00?00-0000 0---- 
Micropyga  110111000? 000011 0000-00000 1000000010 300000-000 00?00-0000 0---- 
Caenopedina  110111000? 000011 1000-00000 0000000010 300000-000 00?00-0000 0---- 
Eodiadema  1101?1000? 000011 ?000-0000? ???000?0?? ????00-000 00?00-0000 0---- 
Orthopsis  110111100? 0000111 ?00-0000? 00000000?? ?????0-000 00?00-0000 0---- 
Acrosalenia  11010?1001 0000111 ?01000000 0000000010 200000-000 00?00-0000 0---- 
Goniophorus  11???????? ??????1 000-000?? 0000000011 200000-000 00?00-0000 0---- 
Hyposalenia  11???????? ??????1 ?0110000? 00000000?? ????00-000 00?00-0000 0---- 
Pseudosalenia  11???????? ??????1 ?01?000?? 00000000?? ????00-000 00?00-0000 0---- 
Holosalenini  11???????? ??????? ????????? ???00000?? ????00-000 00?00-0000 0---- 
Salenia   1101011001 0000111 001000000 0000000010 -1-200-000 00?00-0000 0---- 
Salenocidaris  1101011001 0000111 001000000 0000000010 111200-000 00?00-0000 0---- 
Emiratia  11???????? ??????? ????????? ???00000?? ????00-000 00?00-0000 0---- 
Gauthieria   11???????? ??????1 00100000? 00000000?? ????00-000 00?00-0000 0---- 
Polydiadema  11???????? ??????? ????????? ????0??0?? ????00-000 00?00-0000 0---- 
Diplopodia  11?1??1??1 0?00111 ?0100000? 00000000?? ????00-000 00?00-0000 0---- 
Phymosoma  110101100? 0000111 001000000 00000000?? ????00-000 00?00-0000 0---- 
Acropeltis  11???????? ??????1 ?01?0000? 00000000?? ????00-000 00?00-0000 0---- 
Glypticus  11???????? ??????1 ?01020??? 00000000?? ????00-000 00?00-0000 0---- 
Arbacia   1101111001 0000111 000-00000 0000000011 001-00-000 00?00-0000 0---- 
Coelopleurus  1101111001 0000111 001100000 0000000011 201000-000 00?00-0000 0---- 
Glyptocidaris  1101111001 0000111 ?01000000 0000000010 200000-000 00?00-0000 0---- 
Stomechinus  1101111001 0000111 0?0-0000? 00000000?? ????00-000 00?00-0000 0---- 
Stomopneustes  1101111001 0000111 000-00000 0000000010 200000-000 00?00-0000 0---- 
Hemicidaris  110111100? 0000111 ?0100000? 0000000010 200000-000 00?00-0000 0---- 
Pseudocidaris  11???????? ??????1 ??100000? 00010000?? ????00-000 00?00-0000 0---- 
Pseudodiadema  1101111001 0000111 ?0110000? 00000000?? ????00-000 00?00-0000 0---- 
Glyphopneustes  11???????? ??????? ????????? ???0000011 200000-000 00?00-0000 0---- 
Echinus 1101011101 0000111 000-00000 0000000010 201000-000 00?00-0000 0---- 
Echinometra  1101011111 0000111 000-00000 0000000010 201000-000 00?00-0000 0---- 
Parasalenia  1101011101 0000111 000-00000 0000000010 201?00-000 00?00-0000 0---- 
Parechinus  1101011101 0000111 000-00000 0000000010 201000-000 00?00-0000 0---- 
Strongylocent  1101011111 0000111 000-00000 0000000010 201000-000 00?00-0000 0---- 
Toxopneustes  1101011111 0000111 000-00000 0000000010 201000-000 00?00-0000 0---- 
Trigonocidaris  1101011101 0000111 000-00000 000000001? 201?00-000 00?00-0000 0---- 
Temnopleurus  1101011101 0000111 000-00000 0000000011 201000-000 00?00-0000 0---- 
Zeuglopleurus  11?1?????? ??????? ????????? ???00000?? ????00-000 00?00-0000 0---- 
Glyphocyphus  11???????? ??????? ????????? ???00000?? ????00-000 00?00-0000 0---- 
Conulus   0?------?- ------? ??0-0000? 00000001?? ????000000 00?00-0000 0---- 
Galerites  0?------?- ------? ????????? ???0?0?1?? ????000000 00?00-0000 0---- 
Echinoneus  0101012001 0000?1? 0?0-00000 0000000111 2002000000 00?00-0000 0---- 
Neoglobator  ?????????? ??????? ????????? ???0?0?1?? ????000000 00?00-0000 0---- 
Anorthopygus  11???????? ??????? ????????? ???0?0?1?? ????000000 00?00-0000 0---- 
Coenholectypus  11???????? ??????? ????????? ???0?0?0?? ????100000 00?00-0000 0---- 
Discoides  11???????? ??????? ????????? ???0?0?011 2000100000 00?00-0000 0---- 
Holectypus  1101012001 0000111 0?0-0000? 0000000011 2000100000 00?00-0000 0---- 
Pygaster  11?1??2??1 0?00??1 ????0000? 000000001? ????10-000 00?00-0000 0---- 
Desorella  0?------?- ----?-? ????????? ???0?0?1?? ????000000 00000-0000 0---- 
Collyritis  0?------?- ------? ????????? ???0?0?111 2000000000 00000-0000 0---- 
Disaster  0?------?- ------? ????????? ???0?0?011 2002000000 00000-0000 0---- 
Pygorhytis  0?------?- ------? ????????? ???0?0?111 2000000000 00000-0000 0---- 
Hyboclypus  0?------?- ------? ????????? ???0?0?111 2000000000 00000-0000 0---- 
Tithonia  0?------?- ------? ????????? ???0?????? ????000000 00000-0000 0---- 
Acrolusia  ??------?- ------? ????????? ???0?0?0?? ????000000 00000-000? ????? 
Pseudholaster  0?------?- ------? ????????? ???0?0?010 ??0?000000 00000-0000 0---- 
Hemipneustes  0?------?- ------? ??0-0000? 0000?0?0?? ????000000 00000-0000 0---- 
Cardiaster  0?------?- ------? ??0-0000? 0000?0?0?? ????010000 0010110001 0---- 
Cardiotaxis  0?------?- ------? ??0-0000? 0000?0?0?? ????010000 0010110001 0---- 
Holaster  0?------?- ------? ??0-0000? 0000?0?0?? ????000000 00000-0000 0---- 
Echinocorys  0?------?- ------? ??0-0000? 0000000010 2002000000 00000-0000 0---- 
Stenonaster  0?------?- ------? ????????? ???0?????? ????000000 00000-0000 0---- 
Stegaster  0?------?- ------? ????????? ???0?0???? ????010000 0010111001 0---- 
Calymne 00------?- ------0 010-0000? 0000100010 2002010000 00101?1001 0---- 
Corystus  00------?- ------? 0?0-00000 0000000011 2003010000 00000-0000 11120 
Plexechinus  00------?- ------1 000-00000 000000?010 1002010000 00000-0000 10120 
Pourtalesia  0?------?- ------0 010-00000 0000000010 1002010000 00000-0000 11120 
Urechinus  0?------?- ------0 010-00000 00000000?? ????000000 00000-0000 0---- 
Aeropsis  00------?- ------0 010-0000? 00000000?? ????012001 00000?1000 0---- 
Coraster  0?------?- ------? ????????? ???0?0?0?? ????012101 00000?1000 0---- 
Paleopneustes  00------?- ------1 010-00000 0000000010 0002012010 0100101101 0---- 
Micraster  0?------?- ------0 010-0000? 00?0000011 2002010000 00000-0000 10000 
Plesiaster  0?------?- ------? ????????? ???0?????? ????010000 00000-0000 10000 
Cyclaster  0?------?- ------? 0?0-00000 0000000011 200201BAA0 0000000A00 10000 
Palaeostoma  00------?- ------0 010-0000? 0000010010 2002012101 0000000000 0---- 
Pericosmus  00------?- ------0 010-0000? 0000010010 0002012110 0100101101 0---- 
Macropneustes  0?------?- ------? ????????? ???0?????? ????012010 0000000100 11110 
Unifascia  0?------?- ------? ????????? ???0?????? ????012100 1000011000 0---- 
Schizaster  00------?- ------0 010-0000? 0000110010 0002012101 0001101001 0---- 
Hemiaster  0?------?- ------0 0?0-0000? 0000?100?? ????012110 0000000100 0---- 
Toxaster  0?------?- ------0 0?0-0000? 00000?00?? ????000000 00000-0000 0---- 
Brisaster  00------?- ------0 010-0000? 0000110010 0002012101 0001101001 0---- 
Somaliaster  0?------?- ------? ????????? ???0?0?0?? ????012001 0000010000 0---- 
Brissopsis  00------?- ------0 010-0000? 0000110011 2002012110 0000000100 11110 
Antillaster  0?------?- ------? ????????? ???0?????? ????000000 00000-0000 0---- 
Asterostoma  0?------?- ------? ????????? ???0?????? ????000000 00000-0000 0---- 
Eupatagus  00------?- ------0 010-0000? 0000010011 2002012010 00000-0100 11110 
Megapneustes  0?------?- ------? ????????? ???0?????? ????0120?? 0000000100 11?10 
Ovulaster   0?------?- ------? ????????? ???0?0???? ????010000 00000-0000 11020 
Palaeotrophus  00------?- ------0 010-0000? 0000010010 2002010000 00000-0000 11120 
Periaster  0?------?- ------? ????????? ???0?????? ????012101 0001101001 0---- 
Breynia00------?- ------0 010-0000? 0000010011 2002012010 0000000110 11120 
Brissus   00------?- ------0 010-0000? 0000010011 2002012110 0000000100 11110 
Echinocardium  00------?- ------0 010-0000? 0000110011 2002010000 00000-0010 11121 
Eurypatagus  00------?- ------0 010-0000? 0000010010 2002010000 00000-0000 11120 
Lovenia   00------?- ------0 010-0000? 0000010012 2002010000 00000-0010 11110 
Maretia   00------?- ------0 010-0000? 0000010011 2002010000 00000-0000 11120 
Prenaster  0?------?- ------? ????????? ???0?????? ????012100 1001111001 0---- 
Spatangus  00------?- ------0 010-0000? 0000010011 2002010000 00000-0000 11110 
Carnarechinus  0?------?- ------? 0?0-0000? 0000?????? ?????????? ?????????? ????? 
Enichaster  0?------?- ------? ????????? ???0?????? ?????????? ?????????? ????? 
Galeropygus  0?------?- ------? ????????? ???000?1?? ????000000 00000-0000 0---- 
Clypeus   0?------?- ------? ????????? ???000?1?? ????000000 00000-0000 0---- 
Nucleolites  0?------?- ------? ????????? ???000?1?? ????000000 00000-0000 0---- 
Apatopygus  0111002002 1100011 000-00000 0000000111 2012000000 00000-0000 0---- 
Pygaulus  0?------?- ------? ????????? ???000?1?? ????000000 00000-0000 0---- 
Archiacia  0?------?- ------? ????????? ???000???? ????000000 00000-0000 0---- 
Claviaster  0?------?- ------? ????????? ???000???? ????000000 00000-0000 0---- 
Cassidulus  0?------?- ------0 010-00001 0000000111 2012000000 00000-0000 0---- 
Faujasia  0?------?- ------? ????????? ???000?111 2012000000 00000-0000 0---- 
Stigmatopygus  0?------?- ------? ????????? ???000?111 2012000000 00000-0000 0---- 
Echinolampas  0111002002 110001A 0A0-00001 0000000111 2012000000 00000-0000 0---- 
Clypeolampas  0?------?- ------? ????????? ???000?111 2012000000 00000-0000 0---- 
Neolampas  0?------?- ------0 010-00001 0000000111 2012000000 00000-0000 0---- 
Pliolampas  0?------?- ------0 010-0000? 0000000111 2012000000 00000-0000 0---- 
Plesiolampas  0?------?- ------? ????????? ???000?111 2012000000 00000-0000 0---- 
Oligopygus  1110002002 112101? ????????? ???000?111 2011000000 00000-0000 0---- 
Haimea   1110002002 112101? ????????? ???000?111 2011000000 00000-0000 0---- 
Conoclypus  11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Oligopygus  1110002002 112101? ????????? ???000?111 2011000000 00000-0000 0---- 
Haimea   1110002002 112101? ????????? ???000?111 2011000000 00000-0000 0---- 
Conoclypus  11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Clypeaster  1110002002 1121010 0A0-00000 0000000112 100-000000 00000-0000 0---- 
Ammotrophus  11?0002002 11??010 0?0-00000 0000001112 100-000000 00000-0000 0---- 
Arachnoides  1110002002 1121010 010-00000 0000001112 100-000000 00000-0000 0---- 
Fossulaster  11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Scutellinoides  11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Echinocyamus  1110002002 1111010 010-00001 0000000112 001-000000 00000-0000 0---- 
Fibularia  11?0002002 1111010 010-00001 0000000112 001-000000 00000-0000 0---- 
Laganum   111000200? ?122010 010-00001 0000000112 001-000000 00000-0000 0---- 
Neolaganum  11???????? ????0?? ????????? ???000?112 001-000000 00000-0000 0---- 
Rotula   1110002002 11??010 010-00001 0000001112 001-000000 00000-0000 0---- 
Scutellina  11???????? ????0?? ????????? ???000?1?? ????000000 00000-0000 0---- 
Abertella  11?000?002 11??01? ????????? ???000?1?? ????000000 00000-0000 0---- 
Astriclypeus  1110002002 1102013 010-00002 0000000112 001-000000 00000-0000 0---- 
Dendraster  11?0002002 11??010 010-00002 0000001112 001-000000 00000-0000 0---- 
Echinarachnius  1100002002 1112010 010-00002 00000?1112 001-000000 00000-0000 0---- 
Eoscutella  ?????????? ??????? ????????? ???00????? ????000000 00000-0000 0---- 
Mellita   1110002002 1122013 010-00002 00000?1112 001-000000 00000-0000 0---- 
Monophoraster  11?0002002 11??01? ????????? ???00??1?? ????000000 00000-0000 0---- 
Protoscutella  11?0002002 11??01? ????????? ???00??1?? ????000000 00000-0000 0---- 
Scutaster  ?????????? ??????? ????????? ???00????? ????000000 00000-0000 0---- 
Scutella  11?0002002 11??01? ????????? ???00??112 001-000000 00000-0000 0---- 
Taiwanaster  110??????? ??????? 0?0-00002 00000?1112 001-000000 00000-0000 0---- 
