Salenocidaris 1000000 0-0-002100 0000-00000 11 101111 012000-111 5150000000 22 2010-0- 012000020? 2000000 11 00000-0000 00000-3000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11100023 000000--00 30000 100 20000-0200 0 1101011001 111 1000000 10 111200-000 00?00-0000 0---- 
Emiratia 1000000 0-0-002100 0000-00000 0000?? 00000----- 012010-110 5150?10000 00000000a2 10?0-?- 222000402 2000000 10011 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-10 1000-00221 000000--00 20000 110 ?????????? ?? 11???????? ??????? ????????? ???00000?? ????00-000 00?00-0000 0---- 
Gauthieria 1000000 0-0-002100 0000-00000 0000?? 00000----- 012010-110 5150?01000 100002 10?0-?- 222001432 2000000 11 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-11 0000-00011 001000--00 20000 100 ????120200 0 11???????? ??????1 00100000? 00000000?? ????00-000 00?00-0000 0----
Polydiadema 1000000 0-0-002100 000?-00000 0000?? 0000?????? 0a??10-1?0 ??????1??? ?????0???? ???0-?- 221000301 2000000 11 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-11 0000-00221 000000--00 20000 120 ????1?0210 0 11???????? ??????? ????????? ????0??0?? ????00-000 00?00-0000 0---- 
Diplopodia 1000000 0-0-002100 000?-00000 11 0000?????? 0a??10-1?0 ??????1??? ?????0???? ???0-?- 221000301 2000000 10011 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-11 0100-00221 000000--00 20000 110 ?????????? ?? 11?1??1??1 0?00111 ?0100000? 00000000?? ????00-000 00?00-0000 0---- 
Phymosoma 1000000 0-0-002100 0000-00000 0000?? 0000?????? 012010-1?0 ??????1??? ?????0???? ???0-?- 222001432 2000000 10011 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-11 0100-00011 000000--00 20000 100 2000120200 0 0 110101100? 111 1000000 00000000?? ????00-000 00?00-0000 0---- 
Acropeltis 1000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5151001000 00200000a1 ???0-?- 022100131? 2000000 11 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 10??0----0 -00--00-11 0000-00001 100000--00 20000 100 ?????????? ?? 11???????? ??????1 ?01?0000? 00000000?? ????00-000 00?00-0000 0---- 
Glypticus 1000000 0-0-002100 0001-00010 1 00002----- 012000-100 5150000000 01010000a1 ???0-?- 022100131? 2000000 20000011 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 10??0----0 -00--00-11 0000-00002 100000--00 20000 100 ?????????? ?? 11???????? ??????1 ?01020??? 00000000?? ????00-000 00?00-0000 0---- 
Arbacia 1000000 0-0-002100 0000-00010 00000A 00002----- 012000-100 5150000000 100000101 0110-0- 221001321 000-000000 10000011 11000-0000 33000 001-0-000- 000------- 0 1000000000 20000 20000----0 2A0-100-10 1000-00001 100000--00 20000 101 20000-0200 1101111001 111 000-00000 11 001-00-000 00?00-0000 0----
Coelopleurus 1000000 0-0-002100 0000-00010 0000?? 00002----- 012000-100 5150000000 110000101 0110-0- 221001321 000-000000 11 A1000-0000 00000A3000 001-0-000- 000------- 0 1000000000 20000 20000----0 210-100-11 0000-00001 000000--00 20000 101 20000-0210 0 1101111001 111 1100000 11 201000-000 00?00-0000 0---- 
Glyptocidaris 1000000 0-0-002100 0000-00000 0000?? 101111 0120?0-100 5150010000 11 2010-?- 222001421 2000000 22011 10000-0000 23000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-00021 000000--00 20000 100 2000??0210 0 1101111001 111 ?01000000 10 200000-000 00?00-0000 0---- 
Stomechinus 1000000 0-0-002100 0000-00000 11 00002----- 012000-100 5150010000 0000000a11 ???0-?- 221000301 2000000 22011 10000-0000 23000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -10--00-11 0100-00001 100000--00 20000 110 ????12021? ?? 1101111001 111 0?0-0000? 00000000?? ????00-000 00?00-0000 0---- 
Stomopneustes 1000000 0-0-002100 0000-00000 11 101110 0120?0-100 5150010000 00000000a1 0010-0- 222001431 1002000000 22013 10000-0000 33000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0100-00001 000000--00 20000 110 20000-0210 0 1101111001 111 000-00000 10 200000-000 00?00-0000 0---- 
Hemicidaris 1000000 0-0-002100 0000-00000 11 00002----- 012000-100 5150000000 00000000a1 ???0-?- 022C000301 2000000 11 10000-0000 000003?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 11100223 000000--00 20000 110 ????0-0200 0 110111100? 111 ?0100000? 10 200000-000 00?00-0000 0---- 
Pseudocidaris 1000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5150000000 00000000a1 ???0-?- 121000301 2000000 11 10000-0000 000001?000 001-0-000- 000------- 0 110000---- 0000--0000 10??0----0 -00--00-11 11000213 000000--00 20000 100 ?????????? ?? 11???????? ??????1 ??100000? 00010000?? ????00-000 00?00-0000 0---- 
Pseudodiadema 1000000 0-0-002100 0000-00000 0000?? 00002----- 012000-100 5150010000 00000000a1 ???0-?- 222000301 2000000 11 10000-0000 000003?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0000-00221 010000--00 20000 110 ????120210 0 1101111001 111 ?0110000? 00000000?? ????00-000 00?00-0000 0---- 
Glyphopneustes 1000000 0-0-002100 0001-00000 0000?? 00002----- 012000-100 5150000000 00110000a1 ???0-?- 221001310 2000000 20000011 00000-0000 00000-?000 001-0-000- 000------- 0 110000---- 0000--0000 20??0----0 -00--00-11 0000-00002 000000--00 20000 100 ?????????? ?? 11???????? ??????? ????????? ???0000011 200000-000 00?00-0000 0---- 
