Astriclypeus 201000111 010-002100 0000-00000 2201?? 0210------ 0-0-00-100 12410-1000 1 00142?1 100-0--00- 110 101010---- 1011000 00010-4000 1100010001 111121000 0 100111---- 00103-0000 200101114? 101100 0000-10221 -00000--01 20000 11000000-00 0200-1000 0 1110002002 1102013 010-00002 112 001-000000 00000-0000 0---- 
Dendraster 1201000000 000-002100 0000-00101 330011 2210------ 0-0-00-100 12410-1000 1 00143?2 100-0--00- 10100 101110---- 1111000 00010-4000 1111310001 111122100 10 100111---- 00103-0000 2001011141 101100 0000-10221 -00000--00 20000 11000000-00 0200-1000 0 0 11?0002002 11??010 010-00002 1112 001-000000 00000-0000 0---- 
Echinarachnius 1201000000 000-102100 0000-01101 330011 0210------ 0-0-00-100 12410-0000 1 10134?2 100-0--00- 10100 101010---- 1111000 00010-4000 1110000000 00110120-0 0 100AAA---- 00AA3?0001 200101110 1000101100 0000-10221 -00000--00 20000 11000000-00 0200-1000 0 1100002002 1112010 010-00002 00000?1112 001-000000 00000-0000 0---- 
Eoscutella 1201000000 000-102100 0000-00?0? ?????? 0210------ 0-0-00-100 12410-0000 00000000a1 ???44?2 100-0--00- 20100 ?01?10---- 0001?1?000 000?0-?000 11000100?1 01111???00 ?0 1000000000 10320001 200101114? 1000101100 0000-10??1 -00000--0? 20000 ??000000-00 0?0?????? ?? ?????????? ??????? ????????? ???00????? ????000000 00000-0000 0---- 
Mellita 1201000110 210002100 0000-00100 221111 0210------ 0-0-00-100 12410-1000 1 10141?2 100-0--00- 10100 101010---- 1011000 00010-4000 1102010001 111122000 0 100110---0 11301000 2001011131 101100 0000-10221 -00000--01 20001 11000100-00 0200-1000 1110002002 1122013 010-00002 00000?1112 001-000000 00000-0000 0----
Monophoraster 1201000000 11002100 0000-00100 2200?? 0210------ 0-0-00-100 12410-1000 00000000a1 ???42?1 100-0--00- 20100 101010---- 000101?000 00010-?000 1100010001 111122000 0 1000000000 11300001 200101110 2000101100 0000-10221 -00000--01 20001 11000000-00 0?00-1000 0 11?0002002 11??01? ????????? ???00??1?? ????000000 00000-0000 0---- 
Protoscutella 1201000000 000-002100 0000-01101 3300?? 0210------ 0-0-00-100 12510-0000 00000000a1 ???44?2 100-0--00- 10100 101010---- 000101?000 00010-?000 1110000001 0010---0-0 -0 100110000- 00003-0000 2001011131 2000101100 0000-10221 -00000--00 20000 11000000-00 0?00-1000 0 11?0002002 11??01? ????????? ???00??1?? ????000000 00000-0000 0---- 
Scutaster 1201000011 020-002100 0000-00?0? ?????? 0210------ 0-0-00-100 124?0-?000 00000000a1 ???43?1 100-0--00- 20000 ?01?10---- 0001?1?000 000?0-?000 11100100?1 0?1110-000 -0 100001110- 00103-0001 200101114? 101100 0000-10??1 -00000--0? 20000 ??000200-00 0?0?????? ?? ?????????? ??????? ????????? ???00????? ????000000 00000-0000 0---- 
Scutella 1201000000 000-002100 0000-00000 330111 0210------ 0-0-00-100 12410-0000 00000000a1 ???42?1 100-0--00- 10110 101010---- 0001?11000 000?0-?000 1110010001 011120-000 -0 1000000000 11300001 2001011131 2000101100 0000-10221 -00000--00 20000 11000000-00 0?00-1000 0 11?0002002 11??01? ????????? ???00??112 001-000000 00000-0000 0---- 
Taiwanaster 1102000000 000-002100 0000-0??01 0000?? 0210------ 0-0-00-100 1241?-0000 00000000a1 ???1E?2 100-0--00- 10010 101010---- 0001?1?000 00010-4000 1000000001 000------- 0 100111---- 00103-0000 100101114? 2000101100 0000-10221 -00000--00 20000 11000000-00 0?00?1000 0 110??????? ??????? 0?0-00002 00000?1112 001-000000 00000-0000 0---- 
